customer_id,age,gender,country,acquisition_channel,signup_date
1,56.0,Other,Germany,referral,2019-07-21
2,38.0,Other,Netherlands,email,2022-03-04
3,28.0,Other,Australia,referral,2024-05-21
4,19.0,Female,Australia,paid_search,2022-06-28
5,38.0,Female,Australia,referral,2024-07-17
6,61.0,Other,Germany,paid_search,2022-03-10
7,,Other,Australia,email,2019-02-10
8,61.0,Male,Germany,referral,2019-03-10
9,68.0,Male,Netherlands,paid_search,2019-05-19
10,,Female,US,paid_search,2020-03-02
11,26.0,Female,France,social,2022-03-01
12,64.0,Male,Spain,email,2024-09-06
13,31.0,Female,Spain,social,2019-09-27
14,19.0,Female,US,social,2019-01-15
15,,Female,France,paid_search,2019-01-22
16,27.0,Female,Netherlands,social,2020-12-05
17,57.0,Male,US,referral,2019-03-30
18,41.0,Male,UK,paid_Search,2024-07-24
19,32.0,Male,Netherlands,organic,2023-05-13
20,41.0,Other,Germany,email,2023-01-09
21,34.0,Other,UK,email,2023-06-18
22,,Female,UK,Email,2020-03-11
23,24.0,Female,UK,referral,2024-08-15
24,52.0,Female,Germany,email,2023-02-13
25,18.0,Other,Australia,email,2024-05-28
26,18.0,Other,Netherlands,email,2019-02-13
27,26.0,Female,US,social,2021-07-13
28,30.0,Other,UK,social,2023-02-03
29,49.0,Male,Netherlands,referral,2019-06-02
30,32.0,Male,Spain,email,2023-08-21
31,68.0,Female,US,referral,2023-09-14
32,23.0,Female,Australia,email,2023-03-13
33,45.0,Female,UK,Email,2021-12-14
34,44.0,Male,UK,email,2024-12-09
35,56.0,Other,UK,referral,2024-01-20
36,50.0,Other,Germany,organic,2023-09-24
37,69.0,Male,US,social,2019-08-24
38,29.0,Female,Germany,organic,2022-02-03
39,54.0,Male,Germany,organic,2024-09-30
40,19.0,Female,Netherlands,referral,2023-06-01
41,49.0,Other,Australia,paid_search,2021-10-21
42,61.0,Female,Spain,social,2021-06-06
43,28.0,Male,Netherlands,referral,2022-03-10
44,,Female,Germany,organic,2020-10-22
45,26.0,Female,Spain,referral,2020-12-11
46,20.0,Other,France,email,2019-01-24
47,43.0,Other,France,social,2021-08-01
48,58.0,Other,US,organic,2019-11-08
49,28.0,Male,US,Email,2024-10-15
50,52.0,Female,Spain,organic,2021-05-30
51,69.0,Female,UK,social,2023-08-02
52,22.0,Other,Netherlands,organic,2020-12-29
53,58.0,Other,France,organic,2021-03-06
54,41.0,Male,Spain,social,2019-09-10
55,55.0,Female,Germany,organic,2022-10-21
56,,Female,Spain,Email,2020-12-14
57,19.0,Male,UK,Email,2024-12-28
58,50.0,Female,Canada,social,2020-08-09
59,25.0,Male,Spain,organic,2020-09-01
60,65.0,Other,Australia,referral,2022-10-10
61,68.0,Other,Germany,paid_search,2023-02-28
62,38.0,Other,Spain,organic,2024-03-12
63,22.0,Other,France,email,2023-03-21
64,66.0,Female,Canada,referral,2024-09-28
65,23.0,Male,Canada,referral,2019-08-27
66,66.0,Other,Germany,social,2021-07-07
67,50.0,Male,Canada,organic,2021-12-02
68,20.0,Male,US,paid_search,2021-10-15
69,20.0,Female,Spain,paid_search,2024-01-28
70,44.0,Female,UK,organic,2022-09-03
71,26.0,Other,Canada,paid_search,2021-08-23
72,43.0,Male,Spain,referral,2021-05-10
73,24.0,Male,France,organic,2020-09-20
74,25.0,Female,France,email,2019-09-15
75,40.0,Female,US,email,2019-11-29
76,42.0,Female,Canada,paid_search,2022-08-01
77,39.0,Female,Australia,email,2020-01-08
78,54.0,Male,France,social,2019-10-03
79,61.0,Female,Canada,social,2020-08-01
80,47.0,Other,Spain,social,2021-09-16
81,,Female,Australia,email,2020-05-05
82,34.0,Other,France,paid_search,2019-02-24
83,43.0,Male,Australia,paid_Search,2019-05-22
84,29.0,Female,US,organic,2024-08-14
85,64.0,Female,Australia,organic,2019-06-13
86,,Male,Spain,referral,2019-08-24
87,56.0,Male,Australia,referral,2022-06-07
88,20.0,Other,Canada,organic,2019-09-04
89,46.0,Male,Netherlands,organic,2020-03-07
90,47.0,Male,France,paid_search,2023-08-24
91,43.0,Other,France,organic,2020-06-08
92,47.0,Female,US,referral,2022-11-04
93,53.0,Other,US,paid_search,2020-12-21
94,36.0,Male,Spain,referral,2020-06-21
95,62.0,Other,US,organic,2024-11-11
96,45.0,Other,France,social,2021-12-22
97,67.0,Male,UK,referral,2022-03-13
98,68.0,Other,UK,organic,2020-09-07
99,57.0,Male,Canada,social,2023-08-02
100,48.0,Male,Germany,paid_search,2020-05-03
101,52.0,Female,Spain,referral,2024-10-10
102,43.0,Female,US,email,2020-10-17
103,58.0,Female,Canada,paid_search,2022-09-18
104,,Male,Canada,referral,2022-12-17
105,53.0,Male,Spain,email,2023-12-21
106,66.0,Female,UK,referral,2022-05-13
107,29.0,Male,Netherlands,organic,2023-11-23
108,52.0,Male,UK,social,2022-07-01
109,65.0,Male,Germany,email,2024-08-28
110,66.0,Male,UK,email,2021-01-03
111,29.0,Female,Netherlands,social,2021-08-14
112,36.0,Male,Canada,email,2021-06-16
113,29.0,Other,Canada,social,2020-01-27
114,40.0,Other,Canada,referral,2024-06-24
115,,Female,Netherlands,paid_search,2023-12-28
116,22.0,Male,Germany,email,2020-05-19
117,,Male,US,paid_search,2022-10-03
118,61.0,Female,Netherlands,referral,2024-03-22
119,57.0,Female,Germany,paid_search,2022-11-22
120,19.0,Male,Australia,email,2022-03-04
121,25.0,Male,Australia,social,2022-01-12
122,,Male,Canada,social,2020-04-19
123,53.0,Other,Germany,referral,2023-03-13
124,61.0,Other,US,paid_search,2024-01-31
125,36.0,Other,Canada,referral,2022-04-13
126,67.0,Female,France,social,2023-01-15
127,25.0,Male,Netherlands,organic,2024-11-29
128,20.0,Female,UK,social,2019-10-12
129,66.0,Male,Australia,referral,2019-10-28
130,23.0,Male,Spain,referral,2020-10-09
131,64.0,Female,Canada,email,2019-05-15
132,54.0,Other,France,organic,2020-02-20
133,35.0,Male,Australia,organic,2019-04-01
134,20.0,Male,Germany,social,2024-10-05
135,,Female,France,social,2021-03-16
136,25.0,Female,Spain,paid_search,2020-04-24
137,67.0,Male,UK,social,2020-05-27
138,44.0,Male,UK,organic,2023-07-24
139,37.0,Male,Canada,email,2024-04-06
140,,Male,Netherlands,organic,2019-02-01
141,19.0,Female,US,email,2022-09-13
142,62.0,Male,Australia,organic,2022-02-03
143,,Male,Germany,referral,2023-09-03
144,43.0,Female,Germany,email,2023-07-06
145,66.0,Female,UK,email,2023-08-07
146,18.0,Other,Australia,social,2023-08-23
147,34.0,Male,Australia,email,2019-11-22
148,40.0,Male,US,paid_search,2020-10-26
149,36.0,Female,UK,organic,2023-11-26
150,68.0,Female,UK,organic,2022-07-08
151,57.0,Other,Spain,paid_search,2024-05-09
152,51.0,Other,Germany,paid_search,2023-07-07
153,29.0,Male,Australia,email,2023-07-31
