transaction_id,customer_id,product_category,purchase_value,discount_used,purchase_date
1,8141,home,74.32,0,2023-09-05
2,1297,fashion,17.51,0,2019-08-07
3,7930,toys,39.96,1,2020-02-07
4,2426,electronics,43.79,0,2020-10-02
5,6614,fashion,187.01,0,2023-09-15
6,5971,sports,138.92,1,2021-03-31
7,8617,fashion,72.96,0,2021-03-23
8,2179,electronics,28.62,0,2021-11-14
9,8357,beauty,72.45,1,2020-03-27
10,6688,toys,87.61,0,2021-08-18
11,8059,home,118.99,1,2022-10-05
12,3597,toys,37.45,1,2021-06-20
13,3224,fashion,51.77,0,2023-08-07
14,7159,sports,107.25,0,2019-07-04
15,6633,electronics,42.43,0,2022-05-18
16,5332,toys,89.43,0,2023-05-01
17,2190,sports,191.82,0,2019-11-24
18,1150,sports,58.18,0,2023-10-04
19,3916,sports,49.19,0,2023-09-02
20,5368,toys,157.89,0,2023-10-18
21,7442,electronics,57.11,1,2021-12-13
22,4449,toys,86.77,0,2023-02-19
23,1056,fashion,110.17,0,2023-12-06
24,2465,electronics,46.97,0,2020-04-20
25,4779,sports,226.05,0,2023-09-17
26,131,fashion,137.76,1,2022-10-28
27,2846,toys,63.66,1,2019-09-27
28,4432,electronics,19.73,0,2022-06-06
29,9436,toys,62.29,0,2021-09-28
30,7768,toys,13.67,1,2020-01-07
31,948,beauty,106.4,0,2022-02-16
32,1730,beauty,479.04,0,2022-11-26
33,4383,toys,20.43,1,2023-07-06
34,9203,beauty,52.56,0,2024-07-16
35,8272,home,86.81,0,2021-09-24
36,5830,fashion,63.35,0,2023-02-07
37,6769,home,149.18,1,2024-07-17
38,8358,electronics,10.36,0,2020-06-25
39,4930,sports,15.54,0,2021-12-03
40,3428,fashion,52.33,0,2020-10-17
41,9960,home,23.24,0,2022-09-15
42,7271,sports,47.22,0,2019-07-23
43,1242,home,98.85,1,2020-02-28
44,849,fashion,19.54,0,2021-10-10
45,361,toys,117.07,1,2023-06-01
46,6822,fashion,47.17,0,2024-02-29
47,179,sports,208.98,0,2023-08-16
48,7621,sports,24.22,1,2021-02-10
49,4631,fashion,74.81,0,2023-09-26
50,2523,home,43.08,1,2021-11-18
51,1536,fashion,24.68,0,2022-12-06
52,5997,sports,29.77,0,2021-03-31
53,6499,toys,46.13,1,2024-08-31
54,832,beauty,63.21,0,2020-02-07
55,5074,beauty,24.29,0,2023-06-30
56,820,home,94.92,1,2021-12-25
57,4686,beauty,68.06,0,2024-01-06
58,6039,toys,71.75,0,2019-04-02
59,6775,toys,27.36,0,2021-09-02
60,9466,fashion,7.67,1,2021-07-08
61,2211,toys,42.86,1,2021-12-03
62,6366,toys,44.11,0,2019-04-12
63,5983,sports,72.59,0,2021-09-25
64,2662,home,60.19,0,2020-12-13
65,1708,sports,39.19,0,2024-10-10
66,646,fashion,48.14,0,2024-11-14
67,382,toys,62.16,0,2019-05-10
68,6641,electronics,154.92,0,2023-12-23
69,550,sports,106.97,1,2019-04-03
70,439,electronics,49.92,1,2019-03-14
71,1422,home,5.59,1,2019-08-16
72,1628,home,63.48,0,2024-09-09
73,3716,fashion,58.54,0,2019-07-14
74,6674,sports,16.58,0,2023-09-06
75,2500,toys,153.2,0,2022-11-26
76,800,home,92.99,1,2021-05-10
77,4587,toys,68.19,1,2019-12-07
78,2267,toys,45.32,0,2022-11-25
79,6964,home,119.03,0,2024-03-06
80,6396,sports,71.06,0,2024-01-20
81,1701,sports,147.61,0,2024-02-20
82,8254,electronics,17.26,0,2021-11-11
83,3174,fashion,9.77,0,2022-07-16
84,3241,home,87.36,0,2022-08-17
85,2245,toys,20.03,0,2020-09-12
86,2242,home,26.56,0,2021-11-25
87,8187,fashion,46.73,1,2022-02-25
88,2989,home,94.38,1,2023-05-13
89,7908,toys,100.6,0,2023-04-13
90,7451,toys,122.69,0,2024-10-09
91,5066,fashion,57.76,0,2023-09-10
92,8284,home,61.09,1,2023-04-25
93,7923,toys,77.35,1,2020-11-17
94,2392,sports,75.47,0,2020-06-26
95,703,beauty,113.69,1,2022-05-31
96,3410,beauty,152.74,0,2022-04-06
97,2637,beauty,140.77,1,2024-03-13
98,7216,beauty,57.52,1,2021-01-10
99,8778,sports,38.38,0,2023-05-26
100,2747,home,5.29,0,2024-08-23
101,107,home,54.55,0,2020-11-06
102,2432,fashion,142.54,0,2023-11-15
103,7796,toys,37.26,0,2024-10-18
104,7582,beauty,22.86,1,2023-06-10
105,4836,home,45.05,0,2021-03-08
106,8777,electronics,75.13,0,2023-09-08
107,4078,home,40.98,0,2023-01-07
108,4804,fashion,32.19,1,2020-06-12
109,3094,sports,26.01,0,2021-11-06
110,2125,beauty,68.14,1,2019-07-09
111,94,fashion,14.09,1,2024-10-08
112,6895,beauty,66.98,0,2023-02-26
113,8420,toys,14.45,0,2021-04-11
114,6533,sports,151.55,0,2019-06-18
115,9058,home,24.03,0,2024-01-28
116,613,home,13.49,1,2020-09-18
117,9689,sports,37.5,0,2024-06-29
118,1183,beauty,27.95,1,2020-01-23
119,8113,sports,31.17,1,2020-07-07
120,7887,fashion,108.41,0,2022-01-21
121,455,electronics,12.61,1,2020-11-22
122,6941,electronics,135.55,0,2019-09-09
123,4285,electronics,171.42,1,2022-09-28
124,768,electronics,37.96,1,2022-02-25
125,4883,home,109.41,0,2021-06-09
126,9603,sports,61.61,1,2020-11-30
127,4008,beauty,60.72,1,2022-08-14
128,8328,sports,82.75,1,2020-04-25
129,7793,fashion,61.44,1,2019-12-15
130,7622,beauty,217.51,1,2019-08-11
131,1621,beauty,47.81,0,2019-06-30
132,685,beauty,33.07,1,2022-08-28
133,9075,sports,29.23,1,2021-04-02
